2023-11-02 17:19:14.274 | INFO     | libs.master:_execute:155 - 线程id: e3eb2ab4-7960-11ee-88da-0242ac120002 获取任务信息成功
2023-11-02 17:19:14.276 | INFO     | libs.worker:worker_watch_dog:114 - 子进程获取到请求任务。
2023-11-02 17:19:14.276 | INFO     | libs.worker:execute:99 - 子进程开始执行请求任务。
2023-11-02 17:19:14.502 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:14.540 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:15.504 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:15.545 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:16.504 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:16.567 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:17.505 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:17.573 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:17.637 | INFO     | libs.worker:execute:101 - 子进程执行请求任务完成。
2023-11-02 17:19:17.643 | INFO     | libs.master:_execute:169 - 线程id: e3eb2ab4-7960-11ee-88da-0242ac120002 获取到子进程执行结果，任务结束。
2023-11-02 17:19:17.644 | INFO     | libs.app:get_content:46 - 任务执行成功
2023-11-02 17:19:17.666 | INFO     | libs.app:get_content:38 - 发送具体任务
2023-11-02 17:19:17.667 | INFO     | libs.master:watch_dog:237 - 获取到api接口任务，准备执行任务。
2023-11-02 17:19:17.669 | INFO     | libs.master:execute:191 - 获取线程id e5f190a0-7960-11ee-88da-0242ac120002 成功，创建子线程执行任务。
2023-11-02 17:19:17.671 | INFO     | libs.master:_execute:144 - 线程id: e5f190a0-7960-11ee-88da-0242ac120002 获取子进程成功
2023-11-02 17:19:17.672 | INFO     | libs.master:_execute:155 - 线程id: e5f190a0-7960-11ee-88da-0242ac120002 获取任务信息成功
2023-11-02 17:19:17.674 | INFO     | libs.worker:worker_watch_dog:114 - 子进程获取到请求任务。
2023-11-02 17:19:17.674 | INFO     | libs.worker:execute:99 - 子进程开始执行请求任务。
2023-11-02 17:19:17.677 | INFO     | libs.master:execute:199 - 线程id: e5f190a0-7960-11ee-88da-0242ac120002 任务执行中。
2023-11-02 17:19:18.506 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:18.585 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:19.507 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:19.587 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:20.508 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
